Bedriftsnavn;Adresse;Postnummer;Poststed;Godkjenninger;Organisasjonsnummer
Røhneselmer AS;Stanseveien 10;975;OSLO;BILVERKSTED01B, KONTROLLORGAN01B;933823970
Bilglassmontøren AS avd. Brønnøysund;Salhussletta 5;8909;BRØNNØYSUND;BILGLASS;997106490
Etac Bil As;Helgelandsmoen Næringspark Bygg nr. 40 Hall E-G;3512;HØNEFOSS;BILVERKSTED01, PABYGGER;999065465
Gjøvik Kran og Hydraulikk AS;Skjerven Skog;2827;HUNNDALEN;PABYGGER;948898713
Valhall Auto AS;Skrautvålsvegen 64;2900;FAGERNES;KONTROLLORGAN01, BILVERKSTED01;977570808
Team Verksted Nord AS avd. Bjerka;Strandgata 12;8643;BJERKA;FARTSSKRIVER, BILVERKSTED02, BILVERKSTED03, TRAKTOR, KONTROLLORGAN04;976891783
DIN BILMEKANIKER AS;Jernbaneveien 19;667;OSLO;KONTROLLORGAN01, BILVERKSTED01;920337392
Autoservice Mosjøen AS;Mattismoen 5;8656;Mosjøen;BILSKADE;913364430
HMV Maskin AS ;Regimentsvegen 14;5705;VOSS;MOTORSYKKELOGMOPED, TRAKTOR;955098854
Tana Traktor & Maskin AS;Tana bru;9845;TANA;TRAKTOR;940554578
TANA BILGLASS AS;GRENVEIEN;9845;TANA;BILGLASS;986819274
CARGLASS AS avd. Tønsberg;Kilengaten 25;3117;TØNSBERG;BILGLASS;985758220
BILHJELP TRONDHEIM AS;Terminalen 1;7080;HEIMDAL;HENGERESPALOPSBREMSEANLEGG, LYSUTSTYR, HJUL;875368672
TREKANTEN BILVASK OG BILPLEIE DA;KNUD ASKERS VEI 26;1383;ASKER;HJUL;921049749
Hurtigruta Carglass AS, avd Lyngdal;Fiboveien 1;4580;LYNGDAL;BILGLASS;985758220
DekkTeam AS Avd. Kongsvinger;Sidevegen 9 A;2211;KONGSVINGER;HJUL;980341151
OS LAKK OG KAROSSERI AS;LEPSØYVEGEN 22;5217;HAGAVIK;BILSKADE;914351138
OPPSAL BILSERVICE & OSLO BILELEKTRISKE AS;Gladengveien 16;661;OSLO;BILVERKSTED01, KONTROLLORGAN01;946064556
KJETIL AUNE;Biskopholmen;8900;BRØNNØYSUND;HJUL;987776072
LJØRDALEN BIL & MASKIN;Støaveien 168;2425;Ljørdalen;BILVERKSTED01;882605132
Mandal Bilteknikk AS;Sommerkroveien 12;4515;MANDAL;BILVERKSTED01B, KONTROLLORGAN01B;960848969
ØDEGÅRDEN AUTO AS avd. Trollåsen;Trollåsveien 8;1414;TROLLÅSEN;BILVERKSTED01, KONTROLLORGAN01;979466811
RSA Bil Tromsø;Ærfuglvegen 2;9015;TROMSØ;BILVERKSTED01B, KONTROLLORGAN01B;915518389
TESLA MOTORS NORWAY AS avd. Skodje;Digerneset Næringspark;6260;SKODJE;BILVERKSTED01;917303916
HARILA AS;Skattøravegen 44;9018;TROMSØ;BILVERKSTED01, KONTROLLORGAN01;917630747
STORD DEKKSERVICE AS;RUNDEHAUGEN 31;5412;STORD;HJUL, HENGERESPALOPSBREMSEANLEGG, LYSUTSTYR;950470631
Volvo Truck Center AS avd. Maura;Kopperudmoen Industrifelt ;2032;MAURA;BILVERKSTEDALLE;910712799
BÆVERFJORD MOTOR;Stangvikvegen 531;6642;STANGVIK;BILVERKSTED01;920768296
Vestfold Autogass;Hortensveien 273;3157;BARKÅKER;BILVERKSTED01, KONTROLLORGAN01;815133692
ØYA BIL AS;Skansen 10;2670;OTTA;BILVERKSTED01B, BILVERKSTED02, KONTROLLORGAN01B, MOTORSYKKELOGMOPED, KONTROLLORGAN02;976933184
HEIMDAL AUTOSERVICE AS;Kvenildstrøa 2C;7093;TILLER;BILVERKSTED01, KONTROLLORGAN01;962926606
Gumpens Auto Mandal A/S;Sommerkroveien 1;4515;MANDAL;BILVERKSTED01, KONTROLLORGAN01B;959543402
Storøs Auto AS;Salomonsvei 21;8530;Bjerkvik;BILVERKSTED01, KONTROLLORGAN01;946093726
Bilskade Kvinesdal AS;Industrigata 27;4480;KVINESDAL;BILSKADE;913056612
KJELL GROSTAD - Motorsenter og sport;Heggstadmyra 5;7080;HEIMDAL;MOTORSYKKELOGMOPED;947094807
Solveien Bil AS;Solveien 22A;1533;Moss;BILVERKSTED01B, KONTROLLORGAN01B;950565039
Lena Autoservice AS;Vallevegen 5;2850;LENA;BILVERKSTED01, KONTROLLORGAN01;978639240
Etnedal Bilverksted AS;Kyrkjevegen 71;2890;ETNEDAL;BILVERKSTED01, KONTROLLORGAN01;990006571
VEST AUTO AS;Rådhusveien 43;6770;NORDFJORDEID;BILVERKSTED01B, KONTROLLORGAN01B;979747276
Pomek AS;Lensbygdavegen 267;2850;LENA;BILVERKSTEDALLE, BILSKADE, PABYGGER, KONTROLLORGAN02, KONTROLLORGAN01B;913194691
ROMERIKE TRAKTOR OG MASKIN AS;MYRVANGVEGEN 4;2040;KLØFTA;TRAKTOR;937402465
KENNETH ARNESEN BILVERKSTED AS;KJÆSEGGVEIEN 100;1859;SLITU;BILVERKSTED01, KONTROLLORGAN01;917151784
HALLINGDAL BILSENTER ;Elvevegen 2;3550;GOL;BILVERKSTED01B, KONTROLLORGAN01B;959517525
PRO MOTOR NORD AS;Snev. 11;8072;BODØ;BILVERKSTED01, MOTORSYKKELOGMOPED, BILSKADE;986651101
Grønvolds Bildemontering AS;Byhagan;2385;BRUMUNDDAL;BILSKADE;983033873
Røros Bilskade AS;Stamphusveien 13;7374;RØROS;BILSKADE;990726795
Gumpens Auto Øst  AS;Stemmane 3 Sørl. parken;4636;KRISTIANSAND S;KONTROLLORGAN01, BILVERKSTED01, BILSKADE;994572911
GLENNE BIL A/S;Båstadlundveien 6;1781;HALDEN;BILVERKSTED01, KONTROLLORGAN01;964348030
BILSKADESENTERET NAMSOS AS;NAVARVEGEN 3;7820;SPILLUM;BILSKADE, BILGLASS;918683585
Drammen Antirust og Bilglass AS;Svend Haugs Gate 9;3013;DRAMMEN;BILGLASS;914886988
FRANCIS SPRINTERSERVICE AS;BEDRIFTSVEIEN 10;950;OSLO;BILVERKSTED01, KONTROLLORGAN01;911868628
Trøgstad Karosseriverksted;Kirkeveien 51,  ;1860;Trøgstad;BILSKADE;939780122
Otta Karosseri og Lakk AS;Skansen 20 B;2670;OTTA;BILSKADE;988368954
TEAM VERKSTED TRØNDELAG AS, avd. Levanger;Gråmyrvegen 43;7608;LEVANGER;BILVERKSTEDALLE, KONTROLLORGAN04, HJUL;930462640
JADOT AUTO;Hadelandsveien 520;3514;HØNEFOSS;BILVERKSTED01;919182903
Robstad Karosseri og Billakkering;Møllebekken;4760;Birkeland;BILSKADE;938198306
AUTOSTRADA SERVICESENTER AS;SANDVIKAVEGEN 6;2312;OTTESTAD;BILVERKSTED01, KONTROLLORGAN01;921089708
Bilhallen AS;Kongsgård alle 64B;4632;Kristiansand;BILVERKSTED01, KONTROLLORGAN01;981447867
Opstad Auto AS;Skogveien 6A;4330;Ålgård;BILSKADE;999644031
MEKANIKEREN AS  ;Saltfjellveien 14;8613;MO I RANA;BILVERKSTED01B, KONTROLLORGAN01B;962136672
Oslo Lastebilservice AS;Persveien 2;581;OSLO;BILVERKSTEDALLE, KONTROLLORGAN04;979705948
Alleen Auto A/S;Grønndokkmoen 12A;4580;LYNGDAL;BILVERKSTED01, KONTROLLORGAN01;886313462
NAF Senteret Mo i Rana;Ranenget 16;8626;MO I RANA;KONTROLLORGAN01;987372540
Bil & lakksenteret AS;Strandheim;7584;SELBUSTRAND;BILVERKSTED01, KONTROLLORGAN01, BILSKADE;988648574
Vianor AS avd. Harstad;Klubbholmen 6;9409;HARSTAD;HJUL;935429447
Etac Bil AS avd. Frogner;Lindebergvegen 3;2016;FROGNER;BILVERKSTED01, PABYGGER;999065465
ALTA CARAVAN AS;KLEGGVEIEN 3;9514;ALTA;HENGERESPALOPSBREMSEANLEGG;991172130
TEVO DEKK AS AVD ÅLESUND;Storevågen 73;6020;ÅLESUND;HJUL;995180065
Bavaria Romerike AS avd. Gardermoen;Museumsvegen 16;2060;GARDERMOEN;BILVERKSTED01, KONTROLLORGAN01;960804953
Surnadal lastebilverksted AS;Industrivegen 49;6652;Surnadal;FARTSSKRIVER, BILVERKSTEDALLE, KONTROLLORGAN04;985894078
Nordic Last & Buss AS avd. Finnsnes;Botnhågen;9306;Finnsnes;FARTSSKRIVER, KONTROLLORGAN04, TRAKTOR, BILVERKSTED01, BILVERKSTED02, BILVERKSTED03;979463332
Trucknor Rogaland AS;Mølleveien 4 ;4353;KLEPP STASJON;FARTSSKRIVER, BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, PABYGGER, KONTROLLORGAN04;981925157
Solaris Norge AS avd. Rosenholm;Rosenholmveien 40;1410;KOLBOTN;BILVERKSTEDALLE, KONTROLLORGAN04;889573732
HR SØRLIE SKADE OG LAKK;ENGERVEIEN 106;1815;ASKIM;BILSKADE;998636922
TIRE SHOP AS;Trondheimsveien 249;2067;JESSHEIM;HJUL;919882859
TSS VERKSTED AS;SKIBMANNSVEGEN 4;4056;TANANGER;BILVERKSTED01, KONTROLLORGAN01;920283187
CARGLASS AS;Åsamyrane 78;5116;ULSET;BILGLASS;985758220
GJELLARN LAKK AS;GJELLARN 77;2240;MAGNOR;BILGLASS;995366924
AKTIV BILSERVICE Pål Arvid Blytt;Leirvikflaten 23;5179;GODVIK;BILVERKSTED01B, KONTROLLORGAN01B, MOTORSYKKELOGMOPED;979609205
Mobile Hønefoss AS;Dronning Åstas gate 20;3511;Hønefoss;BILVERKSTED01, KONTROLLORGAN01;984060343
Motor Centeret A/S;Tinghaugvn 2;4340;Bryne;MOTORSYKKELOGMOPED;981305000
RIIS MONTASJE AS;Raglamyrvegen 17A;5536;HAUGESUND;BILGLASS;921979436
 BILIA Gol;Heradveien 9;3550;GOL;BILVERKSTED01, KONTROLLORGAN01;976023188
Brøstad Bil AS;Dalgårdveien 1;9311;Brøstadbotn;BILVERKSTED01, KONTROLLORGAN01;970983961
RIIS MONTASJE AS AVD TILLER;Østre Rosten 4C;7075;TILLER;BILGLASS;912200620
Førde Auto AS;Hanaleite 4;5555;FØRDE i HORDALAND;BILVERKSTED01B, MOTORSYKKELOGMOPED, BILSKADE, KONTROLLORGAN01B;980802965
NESTTUN  AUTO AS;Nesttunvegen 87;5221;NESTTUN;BILVERKSTED01B, KONTROLLORGAN01B;979743041
Bilskadesenter Flekkefjord AS;Drangeid 55;4400;FLEKKEFJORD;BILSKADE;990469032
Halden Bilelektro;Øbergveien 61 ;1761;HALDEN;BILELEKTRODRIVSTOFFANLEGG;970356835
Bertel O. Steen Oslo AS avd. Skøyen ;Drammensveien 207-209;281;OSLO;BILVERKSTED01, KONTROLLORGAN01;984993250
Bilservice Vest AS;Idrettsveien 128  Straume Næringspark;5353;STRAUME;BILVERKSTED01B, KONTROLLORGAN01B;994391151
Vest Bilskadesenter as;Briskeveien 17 - 3229 Sandefjord;3229;SANDEFJORD;BILSKADE;990208093
DOOD'S DEKKSERVICE AS;INDUSTRIGATA 31;4480;KVINESDAL;HJUL;914253152
BJØRKELAND AS;JÆRVEIEN 184;4373;EGERSUND;HJUL;979384270
VIANOR OSLO SKØYEN;Drammensveien 130;277;OSLO;HJUL;935429447
Vestfold Elektrodiesel AS;Sundlandveien 10;3160;STOKKE;BILVERKSTED01, MOTORSYKKELOGMOPED, KONTROLLORGAN01;991466681
Norsk Scania AS avd. Sortland;Verkstedveien 1;8402;SORTLAND;FARTSSKRIVER, BILVERKSTED02, BILVERKSTED03, TRAKTOR, KONTROLLORGAN02, KONTROLLORGAN03;879263662
Araz Auto A/S;Svanvikvegen 300;3739;SKIEN;BILVERKSTED01, KONTROLLORGAN01;914070678
NAF Senter Mastemyr;Rosenholmveien 45;1414;TROLLÅSEN;KONTROLLORGAN01;987372540
Ivar Bråthen Mekaniske AS;Gubberudveien 132;2312;Ottestad;PABYGGER;979901925
TAXI 1 AS;Janaveien 48;5179;GODVIK;ALKOLASVERKSTED;987061480
SVEEN AUTO AS;Øyskogvegen 5;6652;SURNA;BILVERKSTED01, KONTROLLORGAN01;939219498
Lasse Grønvolds Bilverksted;Brugata 12;3520;JEVNAKER;BILVERKSTED01;991011951
ØYGARDEN DEKKSENTER AS;BLEIVASSVEGEN 105;5347;ÅGOTNES;HJUL;922323380
Orstad Bilverksted AS;Orstadveien 128 B;4353;KLEPP STASJON;BILVERKSTED01B, MOTORSYKKELOGMOPED, KONTROLLORGAN01B;991814574
SKANSEN GÅRD;ØVRE ÅRNES 33;7170;ÅFJORD;HJUL;982766591
Evje Bil AS;Verksmoen.;4735;EVJE;BILVERKSTED01, KONTROLLORGAN01;998573661
ROMERIKE BILGLASS & LAKK AS;VOGNVEGEN 23;2072;DAL;BILGLASS;915588115
Berge & Co Ørsta AS;Anders Hovdensgate 14;6150;Ørsta;BILVERKSTED01B, MOTORSYKKELOGMOPED, KONTROLLORGAN01B;951435325
Slemmestad Bil AS;Boligveien 5;3470;SLEMMESTAD;BILVERKSTED01, KONTROLLORGAN01;951503800
Motor Forum Asker og Bærum AS;Alf Kristoffersens vei 7;1375;BILLINGSTAD;BILVERKSTED01, KONTROLLORGAN01;884724902
Iveland Bilverksted AS;Birketveit.;4724;IVELAND;BILVERKSTED01, KONTROLLORGAN01;997397797
Nøtterøy Autoservice AS;Nesbryggveien 4;3133;DUKEN;BILVERKSTED01, KONTROLLORGAN01;997737717
AUTOVISION AS;GIGSTADS VEI 24;3511;HØNEFOSS;KONTROLLORGAN01, BILVERKSTED01;916966628
GJØVIK VULK DEKKSENTER AS;GJØVIK NÆRINGSSENTER;2807;HUNNDALEN;HJUL;959607508
Bilskaden Hadeland AS;Sørvangsbakken 27;2770;JAREN;BILVERKSTED01B, BILSKADE;965893962
Furnes Bilservice AS;Furnesvegen 69;6036;MAUSEIDVÅG;BILVERKSTED01B, BILSKADE, KONTROLLORGAN01B;996170845
Vassbakk & Stol AS;Bygnes;4250;KOPERVIK;BILVERKSTED01;927048841
Cars AS;Tomtaveien 9;1449;DRØBAK;BILVERKSTED01, BILELEKTRODRIVSTOFFANLEGG, KONTROLLORGAN01, PABYGGER, BILSKADE;979607245
A-K maskiner AS;Naust Gård;7100;RISSA;TRAKTOR;946468037
HURTIGRUTA CARGLASS AVD NITTEDAL;Bjertnestangen 4;1482;NITTEDAL;BILGLASS;985758220
Saltvedt Auto AS,;Fjellveien 2;5532;Haugesund.;BILVERKSTED01, BILSKADE;943993890
MOTOR FORUM Hamar AS;Vangsvegen 91;2317;HAMAR;BILVERKSTED01B, BILSKADE, KONTROLLORGAN01B;911907232
Gjølberg Bil AS;Smiløkka 3;3173;VEAR;BILVERKSTED01, BILSKADE, KONTROLLORGAN01;943035504
DEKKMESTERN AS avd. Drammen;Vintergata 19;3048;DRAMMEN;HJUL;999325882
MC-DELER AS;Myrevegen 3;6170;VARTDAL;MOTORSYKKELOGMOPED;893462732
Bilhuset Visborg AS;Venusvegen 10;7652;VERDAL;BILVERKSTED01, KONTROLLORGAN01;980063461
VEAN BIL & LANDBRUKSVERKSTED;Vean;6690;Aure;BILVERKSTED01B, KONTROLLORGAN01B;952525417
Link Auto AS;Roppevegen 130;3539;FLÅ;BILVERKSTED01, KONTROLLORGAN01;913492501
HAUGALAND VIDEREGÅENDE SKOLE;Spannavegen 38;5531;HAUGESUND;KONTROLLORGAN01, BILVERKSTED01;974624486
Statoil E6 Støren;SVARTØYA 9;7290;STØREN;HJUL;983924840
AUTO BILVERKSTED DEKK & GLASS Ahmet Yasar;Tegleverksveien 99;3057;SOLBERGELVA;BILVERKSTED01, KONTROLLORGAN01;996667022
Felleskjøpet Agri SA, avd. Larvik;Løkka 8;3271;LARVIK;TRAKTOR;911608103
Nardo Bilservice As;Brusdalsvegen 200;6011;Ålesund;BILVERKSTED01, KONTROLLORGAN01;979749082
Årskog Auto-trans;Lote;6778;LOTE;BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, TRAKTOR;952685848
ØKERN KAROSSERI LØRENSKOG AS;SOLHEIMVEIEN 62;1473;LØRENSKOG;BILSKADE;916508026
Auto Karosseri AS;Liamyrane 6;5132;NYBORG;BILSKADE;988664324
Alfaset Autoverksted AS;Strømsveien 308;1081;OSLO;BILVERKSTED01B, KONTROLLORGAN01B;962963897
AS Normaskin Tana;Grenveien 2;9845;Tana;BILVERKSTED01, KONTROLLORGAN01;933693333
Bård Henriksen Bilverksted AS;Kjørbekkdalen 12 A;3736;SKIEN;BILVERKSTED01B, KONTROLLORGAN01B;993528099
MODUM KAROSSERISENTER AS;INDUSTRIVEIEN 38;3340;ÅMOT;BILSKADE;913223276
Sør-Varanger Bilteknikk AS;E.K. Andersons vei 12;9912;Hesseng;BILVERKSTED01B, BILSKADE, KONTROLLORGAN01B;981117824
Byåsen videregående skole;Selsbakkvegen 34;7027;TRONDHEIM;BILVERKSTED01, MOTORSYKKELOGMOPED, BILSKADE, KONTROLLORGAN01;817920632
TYDAL BIL-ELEKTRO A/S;Tydal;7590;TYDAL;HJUL;947608738
Toyota Sørvest AS avd. Stavanger;Langflåtveien 35;4017;STAVANGER;BILVERKSTED01, BILSKADE, KONTROLLORGAN01;937665482
Dekkcenteret Bergen AS;Lønningsflaten 37;5258;BLOMSTERDALEN;HJUL;985737614
Norsk Scania AS avd. Kløfta;Prestmoen ;2040;KLØFTA;FARTSSKRIVER, BILVERKSTEDALLE, KONTROLLORGAN03;879263662
Bilpartner karosseriteknikk A/S;Stanseveien 2;975;Oslo;BILSKADE;948095254
S. Holand Bilverksted AS;Kampen 19;9440;EVENSKJER;BILVERKSTED01B, KONTROLLORGAN01B;928260127
Saint Gobain Autover Norge AS avd. Trondheim;Elgeseter gate 21;7030;TRONDHEIM;BILGLASS;918276785
NETTBUSS AS avd. Notodden;Sauheradveien 93;3683;NOTODDEN;BILVERKSTEDALLE;976948394
Felleskjøpet Agri SA avd. Bodø;Gamle Riksvei 13;8020;BODØ;TRAKTOR;911608103
Mekonomen Services  Trøgstad ;Kirkeveien 2;1860;TRØGSTAD;BILVERKSTED01B, KONTROLLORGAN01B;999323332
Hartveit Bilsenter AS;Møllendalsveien 17;5009;BERGEN;BILVERKSTED01, BILSKADE, KONTROLLORGAN01;991587845
Lier Auto AS;Gjellerbekkstubben 19;3420;LIERSKOGEN;KONTROLLORGAN01, BILVERKSTED01;994295411
CUSTOM SHOP ANS;Havnegata 28;8400;SORTLAND;HJUL;971179902
Bil-Service Bruktbilsenter;Træleborgveien 3;3112;TØNSBERG;BILVERKSTED01B, KONTROLLORGAN01B;975933601
DEKK OG DELER AS avd. Sotra;Trollhaugmyra 10;5353;STRAUME;HJUL;996430022
BRITISH CARS KRISTIANSAND AS;BARSTØLVEIEN 3;4636;KRISTIANSAND S;BILVERKSTED01, KONTROLLORGAN01;820192362
WANGEN LAKK OG KAROSSERI;Nuggursvegen 220;2219;BRANDVAL;BILSKADE;982940206
BIL OG DEKKSERVICE AS;VEKTA;6854;KAUPANGER;BILVERKSTED01;960055187
STRANDA ANLEGGSSERVICE AS;Ødegårdsveien 127;6200;STRANDA;BILVERKSTED01, BILVERKSTED02, KONTROLLORGAN01B;879345332
Almli Mek AS;Stasjonsvegen 4;2662;DOVRE;BILVERKSTED01B, MOTORSYKKELOGMOPED, BILSKADE, KONTROLLORGAN01B, PABYGGER;913327810
SØNDRE NORDSTRAND BIL AS;OLAVES HVERVENS VEI 13;1266;OSLO;BILVERKSTED01, KONTROLLORGAN01;820262042
Sulland Bilsenter Lillehammer AS;Industrigaten 24;2619;LILLEHAMMER;BILVERKSTED01B, KONTROLLORGAN01;995379198
SKUDENES BENSINSTASJON AS;VEKTARVEGEN 1;4280;SKUDENESHAVN;BILVERKSTED01;818308892
Laastad & Co AS, avd lette;Spanneveien 142 ;5535;HAUGESUND;BILVERKSTED01, KONTROLLORGAN01;975941264
Team Verksted Råde;Langøyveien 3;1640;RÅDE;FARTSSKRIVER, BILVERKSTEDALLE, KONTROLLORGAN04;946930342
RSA Bil Romerike;Hvamsvingen 7;2013;SKJETTEN;BILVERKSTED01, KONTROLLORGAN01;915518389
Moe Maskinservice;Vormstad;7327;SVORKMO;PABYGGER, TRAKTOR;983424651
TRETTEMO VERKSTEDDRIFT AS;TRETTEMOVEGEN 126;2056;ALGARHEIM;BILVERKSTED03, TRAKTOR, FARTSSKRIVER;999041000
Bilskadesenteret Sortland AS;Vesterålsgata 42;8400;SORTLAND;BILSKADE;997978269
MB-SERVICE AS;Nesttunvegen 14;5232;PARADIS;BILVERKSTED01, KONTROLLORGAN01;976682688
NAF Senter Stjørdal;Wessels veg 91;7502;STJØRDAL;KONTROLLORGAN01;987372540
Kokstad Lakkering og Bilpleie AS;Pb 108 Kokstad;5863;BERGEN;BILSKADE;863608562
Berge & Co AS, Avd. Florø;Evja;6903;FLORØ;BILVERKSTED01, KONTROLLORGAN01;951435325
GB Transportservice AS;Bygget 10 - Engan;7290;STØREN;FARTSSKRIVER, BILVERKSTEDALLE, KONTROLLORGAN04;945447125
LØVSTAD DEKK OG FELG AS;KONGSVINGERVEGEN 566;2040;KLØFTA;HJUL;915750699
Lomoen Bil AS;Handelsveien 9;2640;VINSTRA;BILVERKSTED01, MOTORSYKKELOGMOPED, KONTROLLORGAN01;983241824
HODDØ GLASSERVICE AS;RØRVIKVANNET 7;9610;RYPEFJORD;BILGLASS;999232930
TRØNDELAG BILGLASS AS;Fru Ingers vei;7140;OPPHAUG;BILGLASS;917228760
A-K Maskiner AS avd. Førde;Naustdalsvegen 5;6801;FØRDE;TRAKTOR;946468037
STEIGEN OLJESERVICE AS;HELNESSUND;8285;LEINES;HJUL;948235757
CARGLASS AS;Fyrstikkallen 1;661;OSLO;BILGLASS;985758220
MITT VERKSTED AS;Sandalsringen 3;5225;NESTTUN;BILVERKSTED01, HJUL, KONTROLLORGAN01;996234150
Sande Motorsenter as.;Revåveien 13;3070;SANDE I VESTFOLD;KONTROLLORGAN01B, BILVERKSTED01;982374111
ØVERBY BIL;Sigdalsveien 2656;3350;PRESTFOSS;BILVERKSTED01;821901332
Norsk Scania AS avd. Fauske;Follaveien 86;8200;Fauske;FARTSSKRIVER, BILVERKSTED01B, BILVERKSTED02, BILVERKSTED03, TRAKTOR, KONTROLLORGAN04;879263662
RUSTEFJELBMA SERVICESENTER AS;RUSTEFJELBMA;9845;TANA;HJUL;887634602
PROWASH BILPLEIE AS;HEIAMYRÅ 16B;4031;STAVANGER;HJUL;919790202
SALTEN DEKKSENTER AS;MUNARVOLLVEIEN 1;8030;BODØ;HJUL;992930381
Norsk Motorimport AS;Firdavegen 14;6801;FØRDE;MOTORSYKKELOGMOPED;979877838
DEKK BILEN AS;BREKKEVEGEN 18;5380;TÆLAVÅG;HJUL;916078269
Sirdal Bilverksted   A/S;Sirdalsveien 3846;4440;Tonstad;BILVERKSTED01B, KONTROLLORGAN01B;984889909
ELVERUM  BIL OG DEKK  AS;Torggata 3, Amfi Elverum;2408;Elverum;BILVERKSTED01, KONTROLLORGAN01;983777864
Bekkestua Bilskade AS;Furuveien 4;1356;Bekkestua;BILSKADE;989831313
MOTOR FORUM AS AVD. SKIEN;Kjørbekkdalen  13;3735;SKIEN;BILVERKSTED01B, KONTROLLORGAN01;957290795
Oslo Bilservice AS;Tvetenveien 6;661;OSLO;BILVERKSTED01, KONTROLLORGAN01;989582631
LARSEN MEKANISKE AS;Industribakken 9;8907;BRØNNØYSUND;BILVERKSTED01, HJUL, KONTROLLORGAN01;918598960
Urianstad Rep og Karosseri AS;Urianstad 16;1458;FJELLSTRAND;PABYGGER;895357952
MECA SERVICE AS, avd. Fyksen Servicecenter Hamar;Ringgata 62-64;2318;HAMAR;BILVERKSTED01, KONTROLLORGAN01;920377068
MOBILE FISKÅTANGEN AS;SVANEDAMSVN 16;4621;KRISTIANSAND S;BILVERKSTED01, BILSKADE, KONTROLLORGAN01;918004033
AUKRA  AUTO  AS;Riksfjord;6480;Aukra;BILVERKSTEDALLE, KONTROLLORGAN04, BILVERKSTED01, KONTROLLORGAN01;955902491
Aarsby Bil AS;Hvamsvingen 5;2013;SKJETTEN;BILVERKSTED01, KONTROLLORGAN01;914974399
HURTIGRUTA CARGLASS ÅRNES;Pakkhusgata 3;2150;ÅRNES;BILGLASS;921208464
STAMSUND BILLAKKERING AS;J.M.JOHANSENS VEI 189;8340;STAMSUND;BILSKADE;915566766
Nils Wathne Auto AS, avd. bilskade;Spannaveien 149;5535;HAUGESUND;BILSKADE;965633782
Bertel O.Steen Møre og Romsdal AS;Lerstadvegen 525;6018;ÅLESUND;FARTSSKRIVER, BILVERKSTEDALLE, BILVERKSTED01B, KONTROLLORGAN01B, KONTROLLORGAN04;927190788
Siggerudvn. Bilverksted A/S;Siggerudvn. 1302;1404;SIGGERUD;BILVERKSTED01B, KONTROLLORGAN01B;933615162
Søndeled Bilverksted AS;Øren 49;4990;Søndeled;BILVERKSTED01B, KONTROLLORGAN01B;989753924
DEKK1 avd. Åssiden;Ingvald Ludvigsen gate 27A;3027;DRAMMEN;HENGERESPALOPSBREMSEANLEGG, HJUL;979579292
Martin Lyng Karosseri;Hestehaugveien;1788;HALDEN;BILSKADE;982069009
FØRDE MOTORSPORT AS;Øyrane 4;6802;FØRDE;MOTORSYKKELOGMOPED, LYSUTSTYR, HENGERESPALOPSBREMSEANLEGG;985834199
SEBRA BILGLASS AS, Riis Berger;Bølerveien 92;2020;SKEDSMOKORSET;BILGLASS;986102280
LANGSETH B AS;INNBYGDA;7580;SELBU;HJUL;974521474
HS MC-SENTER AS;LANGBAKKEN 16;1434;ÅS;MOTORSYKKELOGMOPED;916251335
TONSTAD AUTOSENTER ;TONSTADVEIEN 17;4440;TONSTAD;HJUL;955816773
RIIS MONTASJE AS AVD STEINKJER;Sjøfartsgata 5A;7714;STEINKJER;BILGLASS;871679142
Bertel O. Steen. Romerike A/S Lillestrøm skade;Nittedalsgt. 2 c;2000;LILLESTRØM;BILSKADE;984993153
JÆREN STORBIL SENTER AS;Varabergmyra 1;4051;SOLA;BILVERKSTED03, KONTROLLORGAN04, BILVERKSTED02, PABYGGER, FARTSSKRIVER;986348670
Norgesportenbil AS;Kilebusvingen 2;1870;ØRJE;BILVERKSTED01, KONTROLLORGAN01;891361092
Hommersåk Bil A/S;Esseveien 2;4311;HOMMERSÅK;BILVERKSTED01, KONTROLLORGAN01;979630344
CARGLASS AS, avd. Moss;Årvollskogen 40;1529;MOSS;BILGLASS;985758220
Felleskjøpet Agri AS avd. Brønnøysund;Gårdsøyveien 5;8900;BRØNNØYSUND;TRAKTOR;911608103
LANGEVÅG AUTOSERVICE AS;;6030;LANGEVÅG;HJUL;935471990
Saint-Gobain Autover Norge AS avd. Sandnes;Porsmyrvegen 1;4314;SANDNES;BILGLASS;918276785
Sogn Bilskade AS;Hanahaug 13;6863;LEIKANGER;BILSKADE;992546115
VIANOR avd Storo;Gunnar Schjelderups vei 9;485;OSLO;HJUL;935429447
Kverneland Bil AS avd. Bryne;Eskerveien 7;4340;Bryne;BILVERKSTED01B, KONTROLLORGAN01B, BILSKADE;977047684
Reisa Bilsenter AS;Hovedveien 45;9152;Sørkjosen;BILVERKSTED01B, BILSKADE, KONTROLLORGAN01B;829071002
TOYOTA DRAMMEN A/S;ING. RYBERGSGT. 108;3027;DRAMMEN;BILVERKSTED01, KONTROLLORGAN01;947602330
Leif Gromstad Auto AS;Vesterveien 56 ;4839;ARENDAL;BILVERKSTED01B, BILSKADE, KONTROLLORGAN01B;914031923
FELLESKJØPET AGRI SA;Ankersgate 22;3513;HØNEFOSS;TRAKTOR;911608103
